,"Distance from Arkansas Nuclear One, Unit 1",Distance from Beaver Valley Power Station 1,Distance from Braidwood Station 1,Distance from Browns Ferry Nuclear Plant 1,Distance from Brunswick Steam Electric Plant 1,Distance from Byron Station 1,Distance from Callaway Plant 1,Distance from Calvert Cliffs Nuclear Power Plant 1,Distance from Catawba Nuclear Station 1,Distance from Clinton Power Station 1,Distance from Columbia Generating Station,Distance from Comanche Peak 1,Distance from Cooper,Distance from D.C. Cook 1,Distance from Davis-Besse,Distance from Diablo Canyon 1,Distance from Dresden 2,Distance from Duane Arnold,Distance from Farley 1,Distance from Fermi 2,Distance from FitzPatrick,Distance from Ginna,Distance from Grand Gulf 1,Distance from Harris 1,Distance from Hatch 1,Distance from Hope Creek 1,Distance from Indian Point 2,Distance from La Salle 1,Distance from Limerick 1,Distance from McGuire 1,Distance from Millstone 2,Distance from Monticello,Distance from Nine Mile Point 1,Distance from North Anna 1,Distance from Oconee 1,Distance from Palisades,Distance from Palo Verde 1,Distance from Peach Bottom 2,Distance from Perry 1,Distance from Point Beach 1,Distance from Prairie Island 1,Distance from Quad Cities 1,Distance from River Bend 1,Distance from Robinson 2,Distance from Saint Lucie 1,Distance from Salem 1,Distance from Seabrook 1,Distance from Sequoyah 1,Distance from South Texas 1,Distance from Summer,Distance from Surry 1,Distance from Susquehanna 1,Distance from Turkey Point 3,Distance from Vogtle 1,Distance from Waterford 3,Distance from Watts Bar 1,Distance from Wolf Creek 1,Mean Pop,StDev Pop,Median Pop
10,470857,637180,985791,181449,159345,1487048,229208,1678915,664442,105647,117635,654772,441850,1543958,1791058,70005,637120,107663,200213,823223,484409,251259,139326,336528,98859,1777501,883387,3061250,1446257,315906,1251650,154839,484409,707602,354413,386043,379879,3040547,384488,185913,362842,227894,212886,737644,431104,1777501,566702,297242,1339348,842741,186129,1467848,221190,154776,96228,295331,167952,675389.5087719298,676626.195886287,431104.0
11,312113,420460,349323,190226,181900,1397528,302208,1292614,576382,170370,36505,993950,74335,1208005,1209628,71325,738686,238458,186672,875094,211201,259035,170027,449247,253916,1215983,1005844,1420732,1774017,546559,1027100,96853,211201,918722,400204,279532,110923,2303635,255467,298131,238775,397940,238550,776881,509707,1215983,565493,291790,922510,1005692,113087,1050909,124520,265118,62135,227460,209830,565798.0877192982,492585.7393425981,349323.0
12,247224,442479,815148,443130,105385,2299558,336922,985242,445856,107527,46513,1158682,56306,1502760,1239345,118058,517865,276631,298204,780593,152658,531551,178111,403378,222796,1528964,716344,442270,2767512,421920,1126537,189185,152658,1280723,540324,2746733,34636,1938434,229543,573353,88888,486428,272195,773056,554324,1528964,586871,446485,482999,649351,137623,850786,214020,274758,111992,206142,437929,640418.754385965,632207.2967154487,445856.0
13,245200,1053155,750509,497590,119555,2368739,478608,729748,454552,180097,16394,838956,174567,1396889,1267920,80598,488173,178769,328528,634723,125708,627342,105402,419222,171618,1629833,1081092,604005,3301858,414173,1988943,143650,125708,1361968,663652,2638359,31124,1319527,297466,589033,152416,386762,214843,627052,649771,1629833,701660,741381,451908,492480,153916,545227,388410,411295,144711,216094,569693,673691.3157894737,666824.3586481351,492480.0
14,200725,849428,315221,814216,229643,1435079,885491,812456,645003,308922,49325,361685,141530,1244449,960195,184214,347530,149720,463329,1090517,109825,222448,158068,424138,219143,2113986,1432533,465340,5047757,707684,2580438,87034,109825,1079070,877380,1719254,56553,1241559,301006,305961,175092,217820,391126,497997,655701,2113986,638650,884515,238333,431373,283284,477461,373152,608527,231337,403864,685660,702729.0877192982,797960.6024105755,463329.0
15,165667,506933,479807,864850,344535,923545,456514,672905,574961,240099,54466,199487,353198,738666,849296,310347,437267,292918,238445,1148944,391607,220061,292480,386885,267384,2201887,1556955,560774,4236951,926230,4669625,112676,391607,480613,1193217,1652047,41738,796319,388075,284160,216340,268412,477976,496132,818432,2201887,326577,1071581,199305,396794,294317,307777,257515,491341,252167,528846,648866,704533.4385964912,849357.0440376366,456514.0
16,153782,526416,401024,644243,380806,575299,202495,965671,517024,236806,96400,97279,474244,1137253,959106,460682,400624,352349,276778,877109,177247,323851,549004,542794,431467,2088223,1612366,421735,2066473,733512,4904177,110046,177247,797980,1471944,1704564,86073,767606,855183,365508,173494,713632,346365,547187,1088744,2088223,580512,1571018,130119,506262,321162,297671,206134,518210,147972,656774,369990,705015.0701754387,760005.7961955074,517024.0
17,75475,637484,554470,469475,173564,423379,383077,1208031,678148,749110,63173,197235,538000,845706,1236153,339902,715498,273307,349663,1142573,167798,124687,469652,930722,707937,2860339,1901867,422015,1406254,871356,2706409,153309,167798,796369,1623769,1223787,116826,1062634,1856010,438838,90932,996005,149836,792001,1168866,2860339,375868,1629316,142945,485545,844310,292871,112758,532530,113250,927687,191863,750328.4385964912,674299.0731712556,554470.0
18,199274,289044,619323,573839,211849,319285,190189,1123027,601614,1149491,91961,298211,624919,802078,1047757,763700,947586,178907,279499,1256055,187381,137381,233540,903088,570215,4458938,1478953,479058,1821338,902016,1898136,189288,187381,1360861,1556071,794074,134962,1392011,1711139,532101,94542,1254441,242569,820579,1246467,4458938,402441,1191010,213673,488195,1026873,272573,257458,676699,169986,1155200,181365,818395.5964912281,850930.0292797259,619323.0
19,261333,279966,1098978,594043,413918,534708,150934,1011502,613475,1611186,42767,619078,348526,520823,740140,754792,911546,193993,477095,1393641,403233,97097,264795,719022,596333,4645270,1135626,1007760,2134323,802475,1436172,190319,403233,1221114,1270615,621008,38232,1328669,1174614,752174,136028,1085193,373042,1263361,927999,4645270,574039,883166,346968,469752,1698743,420884,287075,863499,193502,1255204,256289,850781.4385964912,857497.579806518,621008.0
20,323256,265070,881121,451120,431593,256386,315443,1745225,804573,2579947,121170,417846,296108,538585,737802,560389,877459,267153,473893,1107417,678169,123953,288711,810875,255002,2640641,1014504,1206375,1741908,854723,1207297,202770,678169,701187,1154589,717830,164140,1554995,1196038,805547,137612,1412821,381567,1286621,619274,2640641,525436,855861,273170,766438,1495636,394777,186238,903896,72774,1467931,168906,790150.4912280702,615424.1417366726,678169.0
21,178504,632222,756550,321250,673780,364883,651527,1859319,423149,2773334,300944,477817,366906,805781,706405,456555,624950,346824,1162955,995833,499866,183308,313078,587754,118655,1459566,1481662,646896,1776560,544804,1154700,124218,499866,966296,1110097,750578,170107,1388325,1043028,555236,107200,2918659,189474,940714,464891,1459566,388003,760742,565821,834180,1566602,830795,68649,1326568,78377,1361354,201703,777498.0,601536.826484945,632222.0
22,394781,730418,854739,516576,799269,305696,687617,1366154,552804,2296108,88841,656663,208533,878575,662425,863548,424007,654843,1150241,1235863,386150,133327,529227,467455,323336,1083989,1230481,271771,1187526,608612,848676,139292,386150,640672,771412,1542808,337777,4009742,1070255,818898,202695,2224570,279264,659809,695977,1083989,432440,801912,893150,1020079,1363725,555916,109817,1230443,258764,1256923,324800,798412.8070175438,632080.7950256247,662425.0
23,295758,686515,919327,681505,394701,318544,803406,918912,1027784,1917423,192469,369979,306334,1035504,934080,941596,499560,680344,1153782,838843,585346,307674,651874,546076,521490,1005450,1240666,682631,898357,557137,558092,123163,585346,665624,543926,1392337,275741,3923779,1041956,1120437,250854,956691,192769,451811,891523,1005450,733169,625243,521072,823354,1311379,474027,180803,1284520,261036,1200893,572271,769830.4035087719,554222.7214190002,680344.0
24,300090,542568,1086685,897828,360830,540796,419084,690960,868988,1272297,354128,194350,274208,1478713,908974,1351475,753789,387890,1097078,830814,358754,376562,571936,722614,735515,872496,1059200,449561,710426,616901,513711,135515,358754,1298068,423578,1294364,168991,3053301,1181554,2017491,291326,1266879,155798,569128,580152,872496,771256,1044204,874308,885830,1208866,863171,161133,1078482,265575,1194996,432463,772752.6315789474,501307.94775476324,722614.0
25,499193,511028,799447,1014283,307978,754918,363690,686399,1158054,1040934,1002735,181370,128568,1366508,804725,2425258,892990,326169,912301,621798,370533,404745,470806,700064,708104,735925,1406549,577652,832507,527471,651614,169247,370533,1214789,464383,1693475,129260,1718094,1243607,1750786,311221,574569,152336,603794,509087,735925,505429,674051,761409,1153114,918438,1673340,98837,1156244,324288,1167581,352936,765106.8245614035,476935.4867148903,686399.0
26,368772,474875,827921,1595157,458477,651054,428656,908250,1056868,745539,1330253,324146,151666,1645585,1314405,2661887,1094758,324121,980295,771953,351230,314722,458367,1166621,1041620,872857,2344248,763419,583394,738223,669425,255334,351230,1407166,421228,1469078,81484,1748936,674882,1708826,140261,390289,229436,486440,748319,872857,550846,536997,505093,1176264,632032,2019175,88829,1270766,333695,758532,356819,818132.947368421,561299.0498757799,674882.0
27,232969,663168,753643,1713878,530886,741921,472219,864262,1178997,744639,1491310,441994,141865,1590095,1647253,2340343,1192790,342339,710955,745940,515058,620254,323758,972483,964942,1183535,1666847,1146604,610451,657520,833803,124935,515058,1213734,502814,1812018,52471,1176006,639090,1258379,182483,572521,318394,467253,302486,1183535,550755,718052,303138,1220145,764540,1867980,109204,837798,210281,769558,372777,808458.350877193,507495.41457116057,718052.0
