,Zip,City,State,Latitude,Longitude,2010 Census Population,Distance from Reactor,Reactor_lat,Reactor_lng
7765,72738,Hindsville,AR,36.155775,-93.88705999999999,2419.0,108.42212503762724,35.330898,-93.247162
32832,72045,El Paso,AR,35.141743,-92.07641,1151.0,108.42332578002434,35.330898,-93.247162
20656,74901,Arkoma,OK,35.347792,-94.44274,1992.0,108.49601261407598,35.330898,-93.247162
7145,72116,North Little Rock,AR,34.799541,-92.24764,21431.0,108.5059676479972,35.330898,-93.247162
31384,72617,Big Flat,AR,36.004445000000004,-92.37364000000001,198.0,108.82719499563355,35.330898,-93.247162
12433,72209,Little Rock,AR,34.674192,-92.35557,32376.0,109.2445650654455,35.330898,-93.247162
12142,72114,North Little Rock,AR,34.763923999999996,-92.26463000000001,12658.0,109.46184072420984,35.330898,-93.247162
10615,72201,Little Rock,AR,34.745692,-92.27986999999999,1024.0,109.53134348830568,35.330898,-93.247162
32103,74946,Moffett,OK,35.41483,-94.45263,137.0,109.72953489203675,35.330898,-93.247162
2117,72202,Little Rock,AR,34.739224,-92.27765,9978.0,110.12522900453504,35.330898,-93.247162
516,72672,Pyatt,AR,36.264469,-92.84044,279.0,110.13292632268426,35.330898,-93.247162
17490,74902,Pocola,OK,35.241727000000004,-94.46967,4095.0,111.43817653565331,35.330898,-93.247162
22966,72638,Green Forest,AR,36.327014,-93.40111,7186.0,111.66417977158417,35.330898,-93.247162
19358,72130,Prim,AR,35.638247,-92.06612,560.0,112.29768558585567,35.330898,-93.247162
22957,72543,Heber Springs,AR,35.489515999999995,-92.02327,12535.0,112.34520134384553,35.330898,-93.247162
19838,72701,Fayetteville,AR,36.040467,-94.13376,39782.0,112.44900779271333,35.330898,-93.247162
13827,72136,Romance,AR,35.230036,-92.01106,1772.0,112.79753429050328,35.330898,-93.247162
32159,72955,Uniontown,AR,35.594578999999996,-94.44989,438.0,112.83959384999406,35.330898,-93.247162
304,72099,Little Rock Air Force Base,AR,34.908539000000005,-92.11721999999999,616.0,113.0274833933772,35.330898,-93.247162
21288,72687,Yellville,AR,36.242942,-92.69011,6461.0,113.21467225041067,35.330898,-93.247162
7273,72167,Traskwood,AR,34.433276,-92.66086999999999,1719.0,113.27048299139128,35.330898,-93.247162
2952,72103,Mabelvale,AR,34.598551,-92.38169,13078.0,113.39770635035325,35.330898,-93.247162
22214,72076,Jacksonville,AR,34.879419,-92.12244,37979.0,114.00150185404779,35.330898,-93.247162
